topic,topic_id,bias_id,title,source,bias,desc.
Facts and Fact Checking - moderate,9,3,Trump Acquitted by Senate,The Flip Side,moderate,“The U.S. Senate acquitted Donald Trump on Saturday of inciting the mob that stormed the Capitol last month… The Senate voted 57-43 in favor of convicting the...
Facts and Fact Checking- Lean Left,9,1,Republicans' opinions of Trump's role in Capitol riots softened between Jan. 6 and acquittal vote,USA TODAY, Lean Left,"After a mob stormed the Capitol on Jan. 6 in a deadly attempt to overturn an election President Donald Trump falsely claimed was stolen, Republican lawmakers..."
Facts and Fact Checking- Lean Right,9,4,Trump launches Republican civil war with attack on 'hack' McConnell,Washington Examiner, Lean Right,Former President Donald Trump threatened an all-out civil war inside the Republican Party as he blamed Senate Minority Leader Mitch McConnell for election...
Facts and Fact Checking - moderate,9,3,GOP senators who voted to convict Trump are now facing backlash in their home states,CNBC,moderate,The seven Republican senators who joined all 50 Democrats in voting to convict former President Donald Trump of inciting the Jan. 6 riot in the Capitol are now...
Facts and Fact Checking- Lean Left,9,1,Trump’s team glosses over his Jan. 6 tirade,Associated Press Politics & Fact Check, Lean Left,"Donald Trump’s legal team thoroughly distorted his remarks from the rally that prefaced the storming of the Capitol last month, seizing on the one instance..."
Facts and Fact Checking- Lean Right,9,4,Impeachment Based on Political Differences Becoming the Norm: Lindsey Graham,The Epoch Times, Lean Right,"Sen. Lindsey Graham (R-S.C.), the ranking member on the Senate Judiciary Committee, said that impeachments based on partisan differences appear to be becoming..."
Facts and Fact Checking - moderate,9,3,GOP Senators Who Voted to Convict Donald Trump Face Local Censures,Newsweek,moderate,"Republican senators who voted to convict former President Donald Trump were rebuked by GOP chapters in their states, with many local groups either censuring..."
Free Speech- Lean Left,10,1,Social Security COLA largest in decades as inflation jumps,Associated Press Politics & Fact Check, Lean Left,Millions of retirees on Social Security will get a 5.9% boost in benefits for 2022. The biggest cost-of-living adjustment in 39 years follows a burst...
Free Speech- Lean Right,10,4,Social Security payments to jump most in 39 years as inflation surges,Fox Business, Lean Right,"Millions of retirees and other Americans receiving Social Security benefits in 2022 are set to receive the biggest payment increase in four decades,..."
Free Speech - moderate,10,3,Social Security Benefits to Increase 5.9% for 2022,Wall Street Journal (News),moderate,"Seniors and other Americans receiving Social Security benefits in 2022 will see the largest increase in their payments in four decades, reflecting surging..."
Free Speech- Lean Left,10,1,"Biden fires head of Social Security Administration, a Trump holdover who drew the ire of Democrats",Washington Post, Lean Left,"President Biden on Friday fired Social Security Commissioner Andrew Saul, a holdover from the Trump administration who had alienated crucial Democratic..."
Free Speech- Right,10,5,"Biden fires Social Security Commissioner Andrew Saul, who says he isn't leaving",Fox News (Online News), Right,President Biden fired Social Security Commissioner Andrew Saul on Friday amid an ongoing dispute over his leadership of the independent agency...
Free Speech - moderate,10,3,"Social Security Benefits to Increase 5.9% in 2022, Spurred by Inflation",AllSides Headline Roundup,moderate,"The Social Security cost-of-living adjustment (COLA) for 2022 will be 5.9%, the Social Security Administration announced Wednesday, marking a sharp increase..."
Free Speech- Lean Left,10,1,No changes planned to Social Security benefits for immigrant workers,USA TODAY, Lean Left,"The claim: The Social Security Administration will allow workers in the country illegally to claim benefits
In a post rapidly gaining traction on Facebook, a..."
Free Speech- Lean Right,10,4,"Coronavirus etiquette: Your guide to work, friends, food shopping and more",New York Post (News), Lean Right,"New Yorkers aren’t known for their politeness at the best of times. And Miss Manners definitely never prepped this city for a pandemic.

During lockdown,..."
Free Speech - moderate,10,3,"Social Security trust funds now projected to run out of money sooner than expected due to Covid, Treasury says",CNBC,moderate,"The Social Security trust fund most Americans rely on for their retirement will run out of money in 12 years, one year sooner than expected, according to an..."
Free Speech- Left,10,2,Social Security could come to a screeching halt,CNN (Online News), Left,Donald Trump once claimed that he could shoot someone in the middle of Fifth Avenue in New York City and not lose any voters. He's now seeing whether the same...
Free Speech- Lean Right,10,4,Proposed Social Security disability changes could cut off disabled recipients,Pittsburgh Post-Gazette, Lean Right,"A proposed change to federal disability assistance would result in millions of more case reviews, likely cutting off many disabled recipients, if the changes..."
Free Speech - moderate,10,3,Biden fires Trump-appointed head of Social Security agency,Associated Press,moderate,"President Joe Biden on Friday fired the commissioner of Social Security after the official refused to resign, and Biden accepted the deputy commissioner’s..."
Free Speech- Left,10,2,"Fact-checking Biden's speech on Social Security, fracking and crime",CNN (Online News), Left,"During a speech Monday billed as one focused on public safety and law enforcement, Democratic presidential nominee Joe Biden took several swipes at President..."
Free Speech- Right,10,5,The Red-Flag Warning on Your Social Security Statement,National Review, Right,"Sadly, America’s forthcoming “economic tsunami” is so predictable that our government issues an annual warning forecasting the year when — absent real reform..."
Free Speech - moderate,10,3,"Biden Fires Trump-Appointed Head of Social Security Andrew Saul, Saul Refuses to Leave",AllSides Headline Roundup,moderate,"On Friday President Joe Biden fired Social Security Commissioner Andrew Saul, who was appointed by former President Donald Trump. A White House statement said..."
Gun Control and Gun Rights- Lean Left,11,1,St. Jude Hoards Billions While Many of Its Families Drain Their Savings,ProPublica, Lean Left,"A series of sharp knocks on his driver’s side window startled Jason Burt awake.

It was the middle of the night on a Saturday in 2016. Burt was sleeping in..."
Gun Control and Gun Rights- Lean Right,11,4,Taxonomy Of Woke Religion,The American Conservative, Lean Right,Here’s a Shellenberger essay explaining why wokeism is a religion. He begins by pointing out how the devoutly woke believe things that are demonstrably...
Gun Control and Gun Rights - moderate,11,3,Biden Says Pope Told Him He Is a Good Catholic Amid Controversy Over Abortion,Wall Street Journal (News),moderate,"President Biden, after meeting Pope Francis, said the pontiff told him to continue receiving Communion, amid a controversy among U.S. church leaders ..."
Gun Control and Gun Rights- Lean Left,11,1,Supreme Court weighs case involving FBI surveillance of Muslim community in California,CBS News (Online), Lean Left,"The Supreme Court on Monday grappled with whether to allow a case brought by three Muslim men against the FBI to proceed, with the men arguing the..."
Gun Control and Gun Rights- Right,11,5,How Getting Fired For His Beliefs Became A Huge Opportunity For My Husband And Our Family Canceling,The Federalist, Right,Canceling conservatives is not silencing or cowing them. It is driving Christians to consider the connections between their faith and their money and jobs...
Gun Control and Gun Rights - moderate,11,3,Biden Says Pope Told Him to Continue Receiving Communion,AllSides Headline Roundup,moderate,"President Joe Biden, a lifelong Roman Catholic, met with Pope Francis on Friday for the first time since his inauguration. While the Vatican canceled its live..."
Gun Control and Gun Rights- Left,11,2,The Parable of the Drowning Man in the Age of COVID,Slate, Left,"The joke goes something like this: A ferocious storm sweeps through a town, and in the aftermath, a man clambers onto his roof to escape the floodwaters. As he..."
Gun Control and Gun Rights- Right,11,5,Biden’s Visit to the Vatican,The American Spectator, Right,"In the days of John F. Kennedy, the Democrats emphasized their political distance from the pope. Kennedy promised Americans that he would never let the pope..."
Gun Control and Gun Rights - moderate,11,3,"Biden, Pope Francis Meet Amid Controversy Over Abortion",Wall Street Journal (News),moderate,"President Biden, the second Catholic president in American history, traveled to the Vatican on Friday for a meeting with Pope Francis that is expected to focus..."
